Date,Open,High,Low,Close,Adj Close,Volume,Symbol,DailyReturn,Source,LoadTime
2019-01-02,154.88999938964844,158.85000610351562,154.22999572753906,157.9199981689453,155.21400451660156,37039700,AAPL,1.9562262194052116,Bloomberg,2025-10-22 19:20:59
2019-01-03,143.97999572753906,145.72000122070312,142.0,142.19000244140625,139.7535400390625,91312200,AAPL,-1.2432235999785075,Bloomberg,2025-10-22 19:20:59
2019-01-04,144.52999877929688,148.5500030517578,143.8000030517578,148.25999450683594,145.71951293945312,58607100,AAPL,2.5807761426988702,Bloomberg,2025-10-22 19:20:59
2019-01-07,148.6999969482422,148.8300018310547,145.89999389648438,147.92999267578125,145.39520263671875,54777800,AAPL,-0.517824000177318,Bloomberg,2025-10-22 19:20:59
2019-01-08,149.55999755859375,151.82000732421875,148.52000427246094,150.75,148.1668701171875,41025300,AAPL,0.7956689361004019,Bloomberg,2025-10-22 19:20:59
2019-01-09,151.2899932861328,154.52999877929688,149.6300048828125,153.30999755859375,150.6829833984375,45099100,AAPL,1.3351869668210834,Bloomberg,2025-10-22 19:20:59
2019-01-10,152.5,153.97000122070312,150.86000061035156,153.8000030517578,151.1646270751953,35780700,AAPL,0.8524610175461066,Bloomberg,2025-10-22 19:20:59
2019-01-11,152.8800048828125,153.6999969482422,151.50999450683594,152.2899932861328,149.6804656982422,27023200,AAPL,-0.38593117336171634,Bloomberg,2025-10-22 19:20:59
2019-01-14,150.85000610351562,151.27000427246094,149.22000122070312,150.0,147.42971801757812,32439200,AAPL,-0.5634776726043601,Bloomberg,2025-10-22 19:20:59
2019-01-15,150.27000427246094,153.38999938964844,150.0500030517578,153.07000732421875,150.44712829589844,28710900,AAPL,1.8633146816719375,Bloomberg,2025-10-22 19:20:59
2019-01-16,153.0800018310547,155.8800048828125,153.0,154.94000244140625,152.2850799560547,30569700,AAPL,1.2150513379300418,Bloomberg,2025-10-22 19:20:59
2019-01-17,154.1999969482422,157.66000366210938,153.25999450683594,155.86000061035156,153.18930053710938,29821200,AAPL,1.0765263910261695,Bloomberg,2025-10-22 19:20:59
